"Data","Price"
6.9.15,153.51
7.9.15,379.03
8.9.15,492.43
9.9.15,631.31
10.9.15,892.80
11.9.15,971.07
12.9.15,1008.35
13.9.15,1311.92
14.9.15,1345.41
15.9.15,1373.30
16.9.15,1701.64
17.9.15,46.03
18.9.15,109.92
19.9.15,131.33
20.9.15,148.92
21.9.15,149.22
22.9.15,153.51
23.9.15,207.22
24.9.15,892.80
25.9.15,1311.92
26.9.15,46.03
27.9.15,109.92
28.9.15,148.92
29.9.15,492.43
30.9.15,575.03
1.10.15,631.31
2.10.15,46.03
3.10.15,93.92
4.10.15,94.22
5.10.15,109.92
6.10.15,129.22
7.10.15,171.92
8.10.15,172.22
9.10.15,196.92
10.10.15,491.31
11.10.15,492.43
12.10.15,624.03
13.10.15,892.80
14.10.15,1311.92
15.10.15,1345.41
16.10.15,171.92
17.10.15,348.35
18.10.15,492.43
19.10.15,624.03
20.10.15,892.80
21.10.15,971.07
22.10.15,1311.92
23.10.15,1345.41
24.10.15,46.03
25.10.15,128.92
26.10.15,129.22
27.10.15,148.92
28.10.15,149.22
29.10.15,171.92
30.10.15,347.03
31.10.15,491.31
1.11.15,492.43
2.11.15,892.80
3.11.15,1311.92
4.11.15,1345.41
5.11.15,128.92
6.11.15,131.33
7.11.15,148.92
8.11.15,153.51
9.11.15,347.03
10.11.15,379.03
11.11.15,491.31
12.11.15,492.44
13.11.15,892.80
14.11.15,948.35
15.11.15,971.06
16.11.15,1311.92
17.11.15,1345.41
18.11.15,1373.30
19.11.15,1701.64
20.11.15,46.03
21.11.15,131.33
22.11.15,148.92
23.11.15,149.22
24.11.15,153.51
25.11.15,171.92
26.11.15,347.03
27.11.15,491.31
28.11.15,492.43
29.11.15,892.80
30.11.15,1311.92
1.12.15,80.03
2.12.15,148.92
3.12.15,196.92
4.12.15,379.03
5.12.15,491.31
6.12.15,492.43
7.12.15,892.80
8.12.15,1311.92
9.12.15,1345.41
10.12.15,46.03
11.12.15,93.92
12.12.15,109.92
13.12.15,110.22
14.12.15,128.92
15.12.15,149.22
16.12.15,183.92
17.12.15,184.22
18.12.15,347.03
19.12.15,491.31
20.12.15,492.43
21.12.15,892.80
22.12.15,1311.92
23.12.15,1345.41
24.12.15,128.92
25.12.15,148.92
26.12.15,347.03
27.12.15,491.31
28.12.15,492.43
29.12.15,892.80
30.12.15,971.07
31.12.15,1311.92
1.1.16,46.03
2.1.16,491.31
3.1.16,552.43
4.1.16,892.80
5.1.16,971.07
6.1.16,1311.92
7.1.16,46.03
8.1.16,109.92
9.1.16,129.22
10.1.16,148.92
11.1.16,171.92
12.1.16,172.22
13.1.16,379.03
14.1.16,492.43
15.1.16,624.03
16.1.16,631.31
17.1.16,892.80
18.1.16,1311.92
19.1.16,1345.41
20.1.16,46.03
21.1.16,110.22
22.1.16,111.33
23.1.16,127.22
24.1.16,171.92
25.1.16,347.03
26.1.16,491.31
27.1.16,492.43
28.1.16,892.80
29.1.16,1311.92
30.1.16,46.03
31.1.16,110.22
1.2.16,149.22
2.2.16,171.92
3.2.16,492.43
4.2.16,575.03
5.2.16,631.31
6.2.16,892.80
7.2.16,1311.92
8.2.16,1345.41
9.2.16,46.03
10.2.16,171.92
11.2.16,172.22
12.2.16,347.03
13.2.16,492.43
14.2.16,631.31
15.2.16,892.80
16.2.16,1311.92
17.2.16,171.92
18.2.16,347.03
19.2.16,491.31
20.2.16,492.43
21.2.16,892.80
22.2.16,971.07
23.2.16,1311.92
24.2.16,46.03
25.2.16,172.22
26.2.16,197.22
27.2.16,552.43
28.2.16,892.80
29.2.16,971.07
1.3.16,1311.92
2.3.16,46.03
3.3.16,109.92
4.3.16,110.22
5.3.16,171.92
6.3.16,172.22
7.3.16,197.22
8.3.16,347.03
9.3.16,379.03
10.3.16,491.31
11.3.16,492.43
12.3.16,892.80
13.3.16,1311.92
14.3.16,1345.41
15.3.16,46.03
16.3.16,154.33
17.3.16,176.51
18.3.16,379.03
19.3.16,492.43
20.3.16,552.43
21.3.16,575.03
22.3.16,631.31
23.3.16,892.80
24.3.16,1311.92
25.3.16,126.03
26.3.16,197.22
27.3.16,289.92
28.3.16,379.03
29.3.16,492.43
30.3.16,679.03
31.3.16,892.80
1.4.16,1311.92
2.4.16,1345.41
3.4.16,46.03
4.4.16,111.33
5.4.16,114.51
6.4.16,171.92
7.4.16,196.92
8.4.16,197.22
9.4.16,347.03
10.4.16,379.03
11.4.16,491.31
12.4.16,492.43
13.4.16,892.80
14.4.16,1311.92
