tbl,Year,quarter,$mkt_fare,citymarketid_1,citymarketid_2,city1,city2,carairlineid,car,carpax,carpaxshare,$caravgfare,fareinc_min,fareinc_minpaxsh,fareinc_max,fare_inc_maxpaxsh,fare_inc_x3paxsh,Geocoded_City1,Geocoded_City2,tbl5pk
Table 5,"1,997",4,245.96,"30,977","34,100","Chicago, IL","Philadelphia, PA","19,805",AA,"49,790",0.2900,222.18,75,0.0900,450,0.1200,0.3900,"Chicago, IL(41.775002, -87.696388)","Philadelphia, PA(39.951061, -75.16562)",19974309773410019805AA
Table 5,"1,997",4,74.04,"34,057","31,884","Portland, OR","Spokane, WA","19,930",AS,"7,300",0.2600,74.59,75,0.8400,100,0.0800,0.00136986301369863,"Portland, OR(45.516018, -122.681425)","Spokane, WA(47.658999, -117.425022)",19974340573188419930AS
Table 5,"2,000",4,236.95,"30,194","33,244","Dallas/Fort Worth, TX","Memphis, TN","19,386",NW,"6,030",0.2100,246.93,100,0.0700,475,0.1200,0.2900,"Dallas/Fort Worth, TX(40.11086, -77.035636)","Memphis, TN(35.143378, -90.052136)",20004301943324419386NW
Table 5,"2,006",2,259.85,"30,721","31,295","Boston, MA (Metropolitan Area)","Detroit, MI","19,386",NW,"75,920",0.8200,269.05,150,0.1100,275,0.0500,0.1400,"Boston, MA (Metropolitan Area)(42.358894, -71.056742)","Detroit, MI(42.332916, -83.047853)",20062307213129519386NW
Table 5,"2,001",1,222.50,"33,198","33,342","Kansas City, MO","Milwaukee, WI","19,386",NW,"1,640",0.1100,208.22,125,0.0900,200,0.0700,0.0800,"Kansas City, MO(39.099792, -94.578559)","Milwaukee, WI(43.041072, -87.909421)",20011331983334219386NW
Table 5,"1,997",4,257.44,"31,057","30,977","Charlotte, NC","Chicago, IL","20,355",US,"29,190",0.5600,253.63,125,0.0500,425,0.2400,0.3400,"Charlotte, NC(35.222936, -80.840161)","Chicago, IL(41.775002, -87.696388)",19974310573097720355US
Table 5,"1,996",1,104.23,"30,781","30,194","Baton Rouge, LA","Dallas/Fort Worth, TX","19,790",DL,"9,500",0.5900,101.21,75,0.1900,125,0.4200,0.00631578947368421,"Baton Rouge, LA(30.443319, -91.187488)","Dallas/Fort Worth, TX(40.11086, -77.035636)",19961307813019419790DL
Table 5,"2,001",2,75.67,"31,136","33,195","Jacksonville, FL","Tampa, FL (Metropolitan Area)","19,393",WN,"11,740",0.4600,70.51,75,0.3400,100,0.6500,0.0000,"Jacksonville, FL(30.325968, -81.65676)","Tampa, FL (Metropolitan Area)(37.8606, -78.804199)",20012311363319519393WN
Table 5,"2,012",1,325.66,"30,397","33,044","Atlanta, GA (Metropolitan Area)","Louisville, KY","20,355",US,"2,070",0.1400,227.00,175,0.0700,300,0.1200,0.0000,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Louisville, KY(38.256078, -85.751569)",20121303973304420355US
Table 5,"2,011",1,117.52,"30,279","30,194","Amarillo, TX","Dallas/Fort Worth, TX","19,805",AA,"9,470",0.2200,124.87,75,0.2800,200,0.0800,0.0300,"Amarillo, TX(35.207009, -101.832013)","Dallas/Fort Worth, TX(40.11086, -77.035636)",20111302793019419805AA
Table 5,"2,008",1,325.73,"33,244","31,650","Memphis, TN","Minneapolis/St. Paul, MN","19,386",NW,"11,240",0.7600,365.04,175,0.0600,400,0.0700,0.2000,"Memphis, TN(35.143378, -90.052136)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",20081332443165019386NW
Table 5,"2,007",3,271.58,"30,977","33,105","Chicago, IL","Cincinnati, OH","19,977",UA,"15,150",0.3400,281.56,100,0.0700,650,0.0500,0.4000,"Chicago, IL(41.775002, -87.696388)","Cincinnati, OH(39.104427, -84.513808)",20073309773310519977UA
Table 5,"2,005",3,234.22,"30,194","33,198","Dallas/Fort Worth, TX","Kansas City, MO","19,805",AA,"58,130",0.8900,237.37,125,0.1000,300,0.1100,0.2100,"Dallas/Fort Worth, TX(40.11086, -77.035636)","Kansas City, MO(39.099792, -94.578559)",20053301943319819805AA
Table 5,"1,999",2,237.82,"30,977","33,105","Chicago, IL","Cincinnati, OH","19,977",UA,"16,730",0.2500,274.31,75,0.1300,425,0.1300,0.6500,"Chicago, IL(41.775002, -87.696388)","Cincinnati, OH(39.104427, -84.513808)",19992309773310519977UA
Table 5,"2,006",1,241.71,"31,703","34,321","New York City, NY (Metropolitan Area)","Portland, ME","20,355",US,"8,310",0.4800,225.07,150,0.1200,425,0.0700,0.0100,"New York City, NY (Metropolitan Area)(40.123164, -75.333718)","Portland, ME(45.516018, -122.681425)",20061317033432120355US
Table 5,"2,005",4,98.36,"30,977","32,337","Chicago, IL","Indianapolis, IN","19,393",WN,"15,480",0.3200,77.08,75,0.3100,100,0.6800,0.0000,"Chicago, IL(41.775002, -87.696388)","Indianapolis, IN(39.76845, -86.156212)",20054309773233719393WN
Table 5,"2,001",4,231.35,"33,105","31,703","Cincinnati, OH","New York City, NY (Metropolitan Area)","19,790",DL,"62,460",0.7700,234.04,75,0.0600,150,0.1200,0.3900,"Cincinnati, OH(39.104427, -84.513808)","New York City, NY (Metropolitan Area)(40.123164, -75.333718)",20014331053170319790DL
Table 5,"2,001",4,223.36,"31,703","34,524","New York City, NY (Metropolitan Area)","Richmond, VA","19,790",DL,"5,480",0.1600,209.02,75,0.0600,400,0.0600,0.3800,"New York City, NY (Metropolitan Area)(40.123164, -75.333718)","Richmond, VA(37.540759, -77.433932)",20014317033452419790DL
Table 5,"1,999",3,78.99,"31,136","32,467","Jacksonville, FL","Miami, FL (Metropolitan Area)","19,393",WN,"45,630",0.7800,69.44,75,0.9800,75,0.9800,0.0000,"Jacksonville, FL(30.325968, -81.65676)","Miami, FL (Metropolitan Area)(44.977479, -93.264346)",19993311363246719393WN
Table 5,"1,999",1,230.79,"31,057","32,337","Charlotte, NC","Indianapolis, IN","20,355",US,"11,280",0.8800,231.43,75,0.0700,400,0.2200,0.4500,"Charlotte, NC(35.222936, -80.840161)","Indianapolis, IN(39.76845, -86.156212)",19991310573233720355US
Table 5,"2,011",3,114.03,"32,211","34,252","Las Vegas, NV","Pasco/Kennewick/Richland, WA","20,368",G4,"12,740",0.7700,98.36,75,0.2500,150,0.1200,0.00470957613814757,"Las Vegas, NV(36.169202, -115.140597)","Pasco/Kennewick/Richland, WA(37.123874, -76.391902)",20113322113425220368G4
Table 5,"1,996",2,88.83,"30,647","30,693","Cleveland, OH (Metropolitan Area)","Nashville, TN","19,393",WN,"18,190",0.5200,74.95,75,0.6500,100,0.3300,0.0000,"Cleveland, OH (Metropolitan Area)(41.505546, -81.6915)","Nashville, TN(36.166687, -86.779932)",19962306473069319393WN
Table 5,"2,005",4,248.24,"31,057","30,198","Charlotte, NC","Pittsburgh, PA","19,977",UA,"2,060",0.1100,199.91,75,0.0500,200,0.0700,0.2300,"Charlotte, NC(35.222936, -80.840161)","Pittsburgh, PA(40.442169, -79.994945)",20054310573019819977UA
Table 5,"2,008",4,93.25,"30,713","31,884","Boise, ID","Spokane, WA","19,930",AS,"6,220",0.1800,97.53,75,0.2500,150,0.1200,0.0000,"Boise, ID(43.597772, -83.884521)","Spokane, WA(47.658999, -117.425022)",20084307133188419930AS
Table 5,"2,010",2,229.72,"31,057","31,295","Charlotte, NC","Detroit, MI","19,790",DL,"17,610",0.4900,229.20,150,0.2800,575,0.0600,0.1300,"Charlotte, NC(35.222936, -80.840161)","Detroit, MI(42.332916, -83.047853)",20102310573129519790DL
Table 5,"2,006",3,237.13,"32,337","31,650","Indianapolis, IN","Minneapolis/St. Paul, MN","19,386",NW,"26,560",0.7500,254.49,150,0.1300,550,0.0700,0.1800,"Indianapolis, IN(39.76845, -86.156212)","Minneapolis/St. Paul, MN(44.977479, -93.264346)",20063323373165019386NW
Table 5,"2,000",3,244.20,"30,194","31,123","Dallas/Fort Worth, TX","St. Louis, MO","20,211",TW,"28,770",0.3800,274.05,125,0.1100,525,0.1400,0.3300,"Dallas/Fort Worth, TX(40.11086, -77.035636)","St. Louis, MO(38.630276, -90.200309)",20003301943112320211TW
Table 5,"2,004",2,263.48,"34,100","30,198","Philadelphia, PA","Pittsburgh, PA","19,977",UA,"4,940",0.1200,186.90,75,0.0500,325,0.0600,0.4400,"Philadelphia, PA(39.951061, -75.16562)","Pittsburgh, PA(40.442169, -79.994945)",20042341003019819977UA
Table 5,"2,004",4,89.63,"30,257","30,852","Albany, NY","Washington, DC (Metropolitan Area)","19,393",WN,"38,970",0.7200,74.86,75,0.4300,100,0.5600,0.0000,"Albany, NY(42.651242, -73.755418)","Washington, DC (Metropolitan Area)(38.892062, -77.019912)",20044302573085219393WN
Table 5,"2,005",4,248.24,"31,057","30,198","Charlotte, NC","Pittsburgh, PA","20,355",US,"11,810",0.6500,290.41,100,0.0900,600,0.0600,0.3900,"Charlotte, NC(35.222936, -80.840161)","Pittsburgh, PA(40.442169, -79.994945)",20054310573019820355US
Table 5,"2,015",3,310.16,"30,397","33,244","Atlanta, GA (Metropolitan Area)","Memphis, TN","19,790",DL,"12,860",0.4100,332.33,225,0.0600,400,0.1000,0.00388802488335925,"Atlanta, GA (Metropolitan Area)(33.748547, -84.391502)","Memphis, TN(35.143378, -90.052136)",20153303973324419790DL
